trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
92,False,"{'a': 0.5, 'e': 1.7362052831002947e-20}",25,18,10.614159134467185,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 1.0530617357553812e-20}",25,13,25.187931820841026,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 6.387142293058423e-21}",30,-1,47.7875824553671,"{0: 31, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 3.873997628687187e-21}",20,-22,64.64035024436127,"{0: 42, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 2.349698337452817e-21}",20,2,24.967086714640075,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 1.4251640827409352e-21}",35,6,36.45340426253598,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 8.644057113036095e-22}",35,17,25.093112469830352,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 5.242885663363464e-22}",20,7,23.643150707154895,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 3.1799709001977496e-22}",30,12,27.326434454458248,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 1.9287498479639178e-22}",20,-14,52.781751355083394,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 1.1698459177061964e-22}",25,15,22.504652527067993,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 7.095474162284704e-23}",20,10,-25.43424919237128,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 4.3036226246244867e-23}",25,13,22.108185363663114,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 2.6102790696677047e-23}",35,13,40.36731037280705,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 1.583214286159632e-23}",25,15,19.325116584145178,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 9.602680054508676e-24}",25,5,37.132124917582814,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 5.824319868470494e-24}",20,11,14.38907240850726,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 3.532628572200807e-24}",25,7,32.88788609188725,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 2.1426475384166538e-24}",25,11,22.508484244662316,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 1.2995814250075031e-24}",20,-26,65.24049488223994,"{0: 46, 1: 0, 2: 0, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 7.882359790600851e-25}",25,-43,86.77751857832483,"{0: 67, 1: 0, 2: 0, 3: 1, 4: 0}",0
113,False,"{'a': 0.5, 'e': 4.780892883885469e-25}",20,8,17.57802379428974,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 2.899758114878488e-25}",25,5,33.54568700125978,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 1.7587922024243116e-25}",20,8,22.38787999847039,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 1.0667613948338533e-25}",25,-7,53.405310263968815,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 6.47023492564546e-26}",20,-3,24.130159584580156,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 3.924395857947463e-26}",35,9,47.98387496400707,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 2.3802664086944007e-26}",35,25,-5.206861424198989,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 1.4437045551572354e-26}",20,12,12.548933704465624,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 8.75651076269652e-27}",25,14,-24.073035650384092,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 5.311092249679095e-27}",25,-7,44.23635504124654,"{0: 31, 1: 1, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 3.221340285992516e-27}",20,10,-24.252127419624266,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 1.953841648821924e-27}",20,5,21.239872883403038,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 1.185064864233981e-27}",25,-17,30.534586389069894,"{0: 41, 1: 0, 2: 0, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 7.187781739060989e-28}",20,-9,44.94727829619099,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 4.359610000063081e-28}",20,12,11.897275837801207,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 2.6442371294280543e-28}",30,14,31.467963970509643,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 1.603810890548638e-28}",30,8,36.61653035624118,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 9.727604774987714e-29}",20,-59,77.89596835027868,"{0: 78, 1: 0, 2: 0, 3: 0, 4: 1}",0
131,False,"{'a': 0.5, 'e': 5.900090541597061e-29}",25,10,25.35203234400943,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 3.578585808559134e-29}",20,8,20.262325554699714,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 2.1705220113036395e-29}",20,-16,55.19035493968483,"{0: 36, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 1.3164881474367883e-29}",25,-13,63.77698914610023,"{0: 38, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 7.984904245686979e-30}",20,11,7.25374844908943,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 4.843089239878731e-30}",20,3,29.709789827007008,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 2.9374821117108028e-30}",25,-2,40.74377421934748,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 1.7816729631100128e-30}",25,9,23.815221005035795,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
